read_id	hap	start0	len	contig
r57_hap2_chr1_hap1:8924-11521	2	8924	2597	chr1_hap1
r58_hap2_chr1_hap1:1118-4189	2	1118	3071	chr1_hap1
r59_hap2_chr1_hap1:1033-5532	2	1033	4499	chr1_hap1
r60_hap1_chr1_hap1:7356-10261	1	7356	2905	chr1_hap1
r61_hap2_chr1_hap1:9803-12367	2	9803	2564	chr1_hap1
r62_hap1_chr1_hap1:4086-7176	1	4086	3090	chr1_hap1
r63_hap2_chr1_hap1:3868-6742	2	3868	2874	chr1_hap1
r64_hap1_chr1_hap1:4292-9406	1	4292	5114	chr1_hap1
r65_hap2_chr1_hap1:8071-13505	2	8071	5434	chr1_hap1
r66_hap2_chr1_hap1:9952-12196	2	9952	2244	chr1_hap1
r67_hap1_chr1_hap1:6685-10495	1	6685	3810	chr1_hap1
r68_hap2_chr1_hap1:9209-14511	2	9209	5302	chr1_hap1
r69_hap2_chr1_hap1:5708-10256	2	5708	4548	chr1_hap1
r70_hap2_chr1_hap1:10141-13067	2	10141	2926	chr1_hap1
r71_hap2_chr1_hap1:2068-7847	2	2068	5779	chr1_hap1
r72_hap1_chr1_hap1:16229-18395	1	16229	2166	chr1_hap1
r73_hap1_chr1_hap1:12856-17230	1	12856	4374	chr1_hap1
r74_hap1_chr1_hap1:12082-17522	1	12082	5440	chr1_hap1
r75_hap1_chr1_hap1:6421-8830	1	6421	2409	chr1_hap1
r76_hap1_chr1_hap1:11072-14107	1	11072	3035	chr1_hap1
r77_hap1_chr1_hap1:9976-15778	1	9976	5802	chr1_hap1
r78_hap2_chr1_hap1:1884-7026	2	1884	5142	chr1_hap1
r79_hap2_chr1_hap1:973-4604	2	973	3631	chr1_hap1
r80_hap1_chr1_hap1:6995-10719	1	6995	3724	chr1_hap1
r81_hap1_chr1_hap1:15657-19623	1	15657	3966	chr1_hap1
r82_hap2_chr1_hap1:5549-7581	2	5549	2032	chr1_hap1
r83_hap1_chr1_hap1:13776-17816	1	13776	4040	chr1_hap1
r84_hap2_chr1_hap1:8857-11514	2	8857	2657	chr1_hap1
r85_hap1_chr1_hap1:15624-19921	1	15624	4297	chr1_hap1
r86_hap1_chr1_hap1:3242-5497	1	3242	2255	chr1_hap1
r87_hap2_chr1_hap1:13742-16826	2	13742	3084	chr1_hap1
r88_hap2_chr1_hap1:15232-19340	2	15232	4108	chr1_hap1
r89_hap2_chr1_hap1:10589-16437	2	10589	5848	chr1_hap1
r90_hap2_chr1_hap1:3463-9449	2	3463	5986	chr1_hap1
r91_hap1_chr1_hap1:11781-14200	1	11781	2419	chr1_hap1
r92_hap2_chr1_hap1:2458-7742	2	2458	5284	chr1_hap1
r93_hap1_chr1_hap1:13132-18706	1	13132	5574	chr1_hap1
r94_hap2_chr1_hap1:8766-13609	2	8766	4843	chr1_hap1
r95_hap1_chr1_hap1:7823-12952	1	7823	5129	chr1_hap1
r96_hap2_chr1_hap1:1491-4717	2	1491	3226	chr1_hap1
r97_hap2_chr1_hap1:10203-12346	2	10203	2143	chr1_hap1
r98_hap1_chr1_hap1:12228-16402	1	12228	4174	chr1_hap1
r99_hap2_chr1_hap1:9370-13486	2	9370	4116	chr1_hap1
r100_hap1_chr1_hap1:2776-7970	1	2776	5194	chr1_hap1
r101_hap2_chr1_hap1:3059-7378	2	3059	4319	chr1_hap1
r102_hap2_chr1_hap1:8623-14305	2	8623	5682	chr1_hap1
r103_hap2_chr1_hap1:1275-3625	2	1275	2350	chr1_hap1
r104_hap1_chr1_hap1:11742-15962	1	11742	4220	chr1_hap1
r105_hap1_chr1_hap1:5929-10650	1	5929	4721	chr1_hap1
r106_hap1_chr1_hap1:11007-15844	1	11007	4837	chr1_hap1
r107_hap1_chr1_hap1:6609-9882	1	6609	3273	chr1_hap1
r108_hap2_chr1_hap1:8065-10989	2	8065	2924	chr1_hap1
r109_hap2_chr1_hap1:13373-15913	2	13373	2540	chr1_hap1
r110_hap2_chr1_hap1:2152-5260	2	2152	3108	chr1_hap1
r111_hap1_chr1_hap1:1229-3749	1	1229	2520	chr1_hap1
r112_hap2_chr1_hap1:9707-14398	2	9707	4691	chr1_hap1
r113_hap1_chr1_hap1:2917-5077	1	2917	2160	chr1_hap1
r114_hap2_chr1_hap1:5270-8698	2	5270	3428	chr1_hap1
r115_hap2_chr1_hap1:8242-10339	2	8242	2097	chr1_hap1
r116_hap2_chr1_hap1:12044-16792	2	12044	4748	chr1_hap1
r117_hap1_chr1_hap1:10288-12513	1	10288	2225	chr1_hap1
r118_hap1_chr1_hap1:12171-17111	1	12171	4940	chr1_hap1
r119_hap1_chr1_hap1:15731-19821	1	15731	4090	chr1_hap1
r120_hap1_chr1_hap1:16350-19373	1	16350	3023	chr1_hap1
r121_hap2_chr1_hap1:7416-12006	2	7416	4590	chr1_hap1
r122_hap2_chr1_hap1:9790-13550	2	9790	3760	chr1_hap1
r123_hap2_chr1_hap1:14672-18614	2	14672	3942	chr1_hap1
r124_hap1_chr1_hap1:13203-17391	1	13203	4188	chr1_hap1
r125_hap1_chr1_hap1:5197-9232	1	5197	4035	chr1_hap1
r126_hap2_chr1_hap1:12925-16380	2	12925	3455	chr1_hap1
r127_hap1_chr1_hap1:7598-9619	1	7598	2021	chr1_hap1
r128_hap2_chr1_hap1:1226-7104	2	1226	5878	chr1_hap1
r129_hap2_chr1_hap1:13256-16459	2	13256	3203	chr1_hap1
r130_hap2_chr1_hap1:4908-9678	2	4908	4770	chr1_hap1
r131_hap2_chr1_hap1:3411-8270	2	3411	4859	chr1_hap1
r132_hap1_chr1_hap1:6354-11133	1	6354	4779	chr1_hap1
r133_hap2_chr1_hap1:1766-6084	2	1766	4318	chr1_hap1
r134_hap1_chr1_hap1:5-2707	1	5	2702	chr1_hap1
r135_hap2_chr1_hap1:14325-17510	2	14325	3185	chr1_hap1
r136_hap1_chr1_hap1:11568-15132	1	11568	3564	chr1_hap1
r137_hap2_chr1_hap1:17592-19675	2	17592	2083	chr1_hap1
r138_hap2_chr1_hap1:7628-9642	2	7628	2014	chr1_hap1
r139_hap2_chr1_hap1:14980-19600	2	14980	4620	chr1_hap1
r140_hap2_chr1_hap1:12049-16058	2	12049	4009	chr1_hap1
r141_hap2_chr1_hap1:8205-10973	2	8205	2768	chr1_hap1
r142_hap2_chr1_hap1:12243-14792	2	12243	2549	chr1_hap1
r143_hap1_chr1_hap1:12961-16078	1	12961	3117	chr1_hap1
r144_hap2_chr1_hap1:1357-6894	2	1357	5537	chr1_hap1
r145_hap1_chr1_hap1:1056-6726	1	1056	5670	chr1_hap1
r146_hap1_chr1_hap1:7689-9747	1	7689	2058	chr1_hap1
r147_hap1_chr1_hap1:9837-13059	1	9837	3222	chr1_hap1
r148_hap1_chr1_hap1:15739-18884	1	15739	3145	chr1_hap1
r149_hap2_chr1_hap1:13671-17076	2	13671	3405	chr1_hap1
r150_hap2_chr1_hap1:9012-13562	2	9012	4550	chr1_hap1
r151_hap1_chr1_hap1:12464-14946	1	12464	2482	chr1_hap1
r152_hap2_chr1_hap1:14482-16949	2	14482	2467	chr1_hap1
r153_hap2_chr1_hap1:13812-16829	2	13812	3017	chr1_hap1
r154_hap2_chr1_hap1:5917-9039	2	5917	3122	chr1_hap1
r155_hap1_chr1_hap1:6546-9833	1	6546	3287	chr1_hap1
r156_hap2_chr1_hap1:6521-11675	2	6521	5154	chr1_hap1
r157_hap2_chr1_hap1:1899-6988	2	1899	5089	chr1_hap1
r158_hap2_chr1_hap1:4815-7622	2	4815	2807	chr1_hap1
r159_hap1_chr1_hap1:12088-18081	1	12088	5993	chr1_hap1
r160_hap2_chr1_hap1:8094-11389	2	8094	3295	chr1_hap1
r161_hap2_chr1_hap1:1227-6953	2	1227	5726	chr1_hap1
r162_hap2_chr1_hap1:5633-8457	2	5633	2824	chr1_hap1
r163_hap1_chr1_hap1:9462-15440	1	9462	5978	chr1_hap1
r164_hap1_chr1_hap1:5083-9676	1	5083	4593	chr1_hap1
r165_hap2_chr1_hap1:3296-6758	2	3296	3462	chr1_hap1
r166_hap2_chr1_hap1:378-4601	2	378	4223	chr1_hap1
r167_hap1_chr1_hap1:13676-18196	1	13676	4520	chr1_hap1
r168_hap2_chr1_hap1:9947-12083	2	9947	2136	chr1_hap1
r169_hap1_chr1_hap1:8295-13422	1	8295	5127	chr1_hap1
r170_hap1_chr1_hap1:12451-14989	1	12451	2538	chr1_hap1
r171_hap2_chr1_hap1:9145-14990	2	9145	5845	chr1_hap1
r172_hap2_chr1_hap1:1238-4439	2	1238	3201	chr1_hap1
r173_hap1_chr1_hap1:10061-12544	1	10061	2483	chr1_hap1
r174_hap1_chr1_hap1:15358-19877	1	15358	4519	chr1_hap1
r175_hap2_chr1_hap1:2695-4966	2	2695	2271	chr1_hap1
r176_hap2_chr1_hap1:10595-15377	2	10595	4782	chr1_hap1
r177_hap1_chr1_hap1:5412-8098	1	5412	2686	chr1_hap1
r178_hap2_chr1_hap1:14735-18383	2	14735	3648	chr1_hap1
r179_hap1_chr1_hap1:4015-7210	1	4015	3195	chr1_hap1
r180_hap2_chr1_hap1:9838-13021	2	9838	3183	chr1_hap1
r181_hap1_chr1_hap1:3686-9296	1	3686	5610	chr1_hap1
r182_hap1_chr1_hap1:276-4802	1	276	4526	chr1_hap1
r183_hap2_chr1_hap1:3103-6865	2	3103	3762	chr1_hap1
r184_hap2_chr1_hap1:1511-7444	2	1511	5933	chr1_hap1
r185_hap1_chr1_hap1:6369-10232	1	6369	3863	chr1_hap1
r186_hap1_chr1_hap1:11727-16066	1	11727	4339	chr1_hap1
r187_hap2_chr1_hap1:12721-15194	2	12721	2473	chr1_hap1
r188_hap1_chr1_hap1:5933-9114	1	5933	3181	chr1_hap1
r189_hap2_chr1_hap1:6259-11592	2	6259	5333	chr1_hap1
r190_hap1_chr1_hap1:3240-6540	1	3240	3300	chr1_hap1
r191_hap2_chr1_hap1:2838-5379	2	2838	2541	chr1_hap1
r192_hap2_chr1_hap1:14772-16804	2	14772	2032	chr1_hap1
r193_hap1_chr1_hap1:8322-10493	1	8322	2171	chr1_hap1
r194_hap2_chr1_hap1:11821-14455	2	11821	2634	chr1_hap1
r195_hap2_chr1_hap1:11485-16326	2	11485	4841	chr1_hap1
r196_hap2_chr1_hap1:14994-18571	2	14994	3577	chr1_hap1
r197_hap2_chr1_hap1:3149-5560	2	3149	2411	chr1_hap1
r198_hap2_chr1_hap1:1230-7034	2	1230	5804	chr1_hap1
r199_hap1_chr1_hap1:5633-11434	1	5633	5801	chr1_hap1
